               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.020268,            0.017446,           0.0041522,              0.8148,             0.73626,              0.7859,             0.55472,            0.030165,             0.02197,           0.0089665,           0.0071127,           0.0071127,           0.0071127
                 117,            0.020272,            0.017724,           0.0043409,             0.81772,              0.7345,             0.78989,             0.55691,            0.030138,            0.021643,            0.008817,           0.0070686,           0.0070686,           0.0070686
                 118,            0.020239,            0.017821,           0.0042809,             0.80658,             0.73928,             0.78602,             0.55298,            0.030226,            0.021768,           0.0090006,           0.0070243,           0.0070243,           0.0070243
                 119,            0.020193,            0.017726,           0.0041888,             0.82331,              0.7257,              0.7876,             0.55502,             0.03006,            0.021722,           0.0089938,           0.0069799,           0.0069799,           0.0069799
                 120,            0.020159,            0.017919,           0.0046593,             0.83074,             0.72062,             0.78653,             0.55388,            0.030056,            0.021761,           0.0089826,           0.0069353,           0.0069353,           0.0069353
                 121,            0.020126,            0.017713,           0.0041696,             0.82862,             0.72377,             0.78713,             0.55378,            0.029897,            0.021614,           0.0092149,           0.0068906,           0.0068906,           0.0068906
                 122,            0.019796,            0.017448,           0.0040702,             0.81584,             0.73238,              0.7848,             0.55399,            0.029904,            0.021723,           0.0091303,           0.0068457,           0.0068457,           0.0068457
                 123,            0.019807,            0.017463,           0.0041364,             0.81692,             0.73271,             0.78603,             0.55309,            0.029909,            0.021777,           0.0090769,           0.0068006,           0.0068006,           0.0068006
                 124,            0.019877,            0.017613,           0.0042031,             0.82249,             0.72935,             0.78926,             0.55858,            0.029956,            0.021748,               0.009,           0.0067555,           0.0067555,           0.0067555
                 125,            0.019733,            0.017413,           0.0042231,             0.83676,             0.72028,              0.7885,             0.55871,            0.030058,            0.021842,           0.0089305,           0.0067101,           0.0067101,           0.0067101
                 126,            0.019571,            0.016787,           0.0042335,             0.80893,             0.74017,             0.78784,             0.55835,            0.030091,            0.021998,           0.0088681,           0.0066647,           0.0066647,           0.0066647
                 127,             0.01934,            0.017057,           0.0042237,             0.82032,             0.73167,             0.78766,             0.55842,            0.030123,            0.022087,           0.0089216,           0.0066191,           0.0066191,           0.0066191
                 128,            0.019559,            0.017291,           0.0041104,             0.80545,             0.74804,             0.78969,             0.55949,             0.03014,             0.02209,           0.0090717,           0.0065734,           0.0065734,           0.0065734
                 129,            0.019608,            0.017361,           0.0039766,             0.80053,             0.75347,             0.78879,             0.55979,            0.030109,            0.022225,           0.0091073,           0.0065276,           0.0065276,           0.0065276
                 130,            0.019395,             0.01727,           0.0040016,             0.81716,             0.74036,             0.78819,             0.56147,            0.030057,            0.022288,           0.0090756,           0.0064816,           0.0064816,           0.0064816
                 131,            0.019228,            0.017016,           0.0039307,             0.82823,             0.73465,             0.78956,             0.56196,            0.030046,            0.022252,           0.0091473,           0.0064356,           0.0064356,           0.0064356
                 132,            0.019276,            0.017018,           0.0037601,             0.83053,             0.73318,             0.78801,             0.56073,            0.030115,            0.022427,           0.0093747,           0.0063895,           0.0063895,           0.0063895
                 133,            0.019406,            0.017109,            0.004311,              0.8319,             0.73103,             0.78869,              0.5601,            0.030156,            0.022393,           0.0094234,           0.0063432,           0.0063432,           0.0063432
                 134,            0.019126,            0.017013,           0.0038874,             0.84418,             0.72207,             0.78963,             0.56132,            0.030127,            0.022469,           0.0093443,           0.0062969,           0.0062969,           0.0062969
                 135,            0.019374,            0.017034,            0.004058,             0.83758,             0.72468,             0.79041,             0.56318,            0.030149,            0.022405,           0.0094234,           0.0062505,           0.0062505,           0.0062505
                 136,            0.019046,            0.017089,           0.0038894,             0.82549,             0.73703,             0.79154,              0.5641,            0.030142,            0.022331,           0.0093516,            0.006204,            0.006204,            0.006204
                 137,             0.01874,            0.016624,           0.0039443,              0.8325,             0.73316,              0.7929,             0.56632,            0.030169,            0.022276,           0.0092609,           0.0061574,           0.0061574,           0.0061574
                 138,            0.018936,            0.016869,           0.0038218,             0.82915,             0.73326,              0.7915,             0.56594,            0.030153,            0.022254,           0.0091942,           0.0061107,           0.0061107,           0.0061107
                 139,            0.019046,            0.016898,           0.0039964,             0.81679,              0.7442,             0.79085,             0.56473,            0.030132,            0.022243,           0.0092084,            0.006064,            0.006064,            0.006064
                 140,            0.018922,            0.016846,           0.0039475,             0.83323,             0.73109,             0.78923,             0.56333,            0.030128,            0.022415,           0.0093746,           0.0060172,           0.0060172,           0.0060172
